Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance
2024-05-25 14:00:03.771,5692.0,50.0,1,21.0,False,8,car,0 days 00:00:00.080000,0 days 00:12:59.088000,1.1111111111111112
2024-05-25 14:00:04.051,6360.0,55.0,1,21.0,False,8,car,0 days 00:00:00.360000,0 days 00:12:59.368000,5.3888888888888875
2024-05-25 14:00:04.211,6836.0,57.0,1,21.0,False,8,car,0 days 00:00:00.520000,0 days 00:12:59.528000,7.922222222222221
2024-05-25 14:00:04.491,7124.0,62.0,1,23.0,False,8,car,0 days 00:00:00.800000,0 days 00:12:59.808000,12.744444444444444
2024-05-25 14:00:04.691,7522.0,66.0,1,26.0,False,8,car,0 days 00:00:01,0 days 00:13:00.008000,16.411111111111108
2024-05-25 14:00:05.011,8281.0,72.0,1,36.0,False,8,car,0 days 00:00:01.320000,0 days 00:13:00.328000,22.81111111111111
2024-05-25 14:00:05.291,9284.0,80.0,1,42.0,False,8,car,0 days 00:00:01.600000,0 days 00:13:00.608000,29.03333333333333
2024-05-25 14:00:05.451,9271.0,85.0,1,45.0,False,8,car,0 days 00:00:01.760000,0 days 00:13:00.768000,32.81111111111111
2024-05-25 14:00:05.651,8774.0,90.0,2,44.0,False,8,car,0 days 00:00:01.960000,0 days 00:13:00.968000,37.81111111111111
2024-05-25 14:00:06.091,8932.0,102.0,2,46.0,False,8,car,0 days 00:00:02.400000,0 days 00:13:01.408000,50.27777777777777
2024-05-25 14:00:06.251,9520.0,108.0,2,56.0,False,8,car,0 days 00:00:02.560000,0 days 00:13:01.568000,55.077777777777776
2024-05-25 14:00:06.451,10026.0,115.0,2,59.0,False,8,car,0 days 00:00:02.760000,0 days 00:13:01.768000,61.466666666666654
2024-05-25 14:00:06.651,10820.0,122.0,2,62.0,False,8,car,0 days 00:00:02.960000,0 days 00:13:01.968000,68.24444444444444
2024-05-25 14:00:06.891,11176.0,129.0,2,64.0,False,8,car,0 days 00:00:03.200000,0 days 00:13:02.208000,76.84444444444445
2024-05-25 14:00:07.372,10756.0,146.0,2,74.0,False,8,car,0 days 00:00:03.681000,0 days 00:13:02.689000,96.35166666666666
2024-05-25 14:00:07.612,10929.0,149.0,3,61.0,True,8,car,0 days 00:00:03.921000,0 days 00:13:02.929000,106.28499999999998
2024-05-25 14:00:07.892,10142.0,143.0,3,3.0,True,8,car,0 days 00:00:04.201000,0 days 00:13:03.209000,117.4072222222222
2024-05-25 14:00:08.292,9800.0,135.0,3,23.0,True,8,car,0 days 00:00:04.601000,0 days 00:13:03.609000,132.40722222222223
2024-05-25 14:00:08.692,8873.0,124.0,3,5.0,True,8,car,0 days 00:00:05.001000,0 days 00:13:04.009000,146.18500000000003
2024-05-25 14:00:09.012,8248.0,114.0,3,7.0,True,8,car,0 days 00:00:05.321000,0 days 00:13:04.329000,156.31833333333336
2024-05-25 14:00:09.252,7554.0,105.0,3,0.0,True,8,car,0 days 00:00:05.561000,0 days 00:13:04.569000,163.31833333333336
2024-05-25 14:00:09.452,7451.0,100.0,3,3.0,True,8,car,0 days 00:00:05.761000,0 days 00:13:04.769000,168.87388888888893
2024-05-25 14:00:09.812,8174.0,93.0,2,5.0,True,8,car,0 days 00:00:06.121000,0 days 00:13:05.129000,178.17388888888894
2024-05-25 14:00:10.051,7484.0,88.0,2,12.0,True,8,car,0 days 00:00:06.360000,0 days 00:13:05.368000,184.01611111111117
2024-05-25 14:00:10.331,7158.0,86.0,2,16.0,True,8,car,0 days 00:00:06.640000,0 days 00:13:05.648000,190.70500000000004
2024-05-25 14:00:10.531,7100.0,84.0,2,21.0,True,8,car,0 days 00:00:06.840000,0 days 00:13:05.848000,195.3716666666667
2024-05-25 14:00:10.691,7042.0,82.0,2,21.0,True,8,car,0 days 00:00:07,0 days 00:13:06.008000,199.01611111111114
2024-05-25 14:00:10.891,7157.0,81.0,2,26.0,True,8,car,0 days 00:00:07.200000,0 days 00:13:06.208000,203.51611111111114
2024-05-25 14:00:11.091,7167.0,83.0,2,30.0,False,8,car,0 days 00:00:07.400000,0 days 00:13:06.408000,208.12722222222226
2024-05-25 14:00:11.371,7627.0,87.0,2,34.0,False,8,car,0 days 00:00:07.680000,0 days 00:13:06.688000,214.8938888888889
2024-05-25 14:00:11.531,7736.0,89.0,2,37.0,False,8,car,0 days 00:00:07.840000,0 days 00:13:06.848000,218.84944444444446
2024-05-25 14:00:11.731,8296.0,92.0,2,39.0,False,8,car,0 days 00:00:08.040000,0 days 00:13:07.048000,223.96055555555554
2024-05-25 14:00:11.931,8511.0,96.0,2,42.0,False,8,car,0 days 00:00:08.240000,0 days 00:13:07.248000,229.29388888888892
2024-05-25 14:00:12.091,8511.0,100.0,2,43.0,False,8,car,0 days 00:00:08.400000,0 days 00:13:07.408000,233.73833333333337
2024-05-25 14:00:12.291,9642.0,105.0,2,53.0,False,8,car,0 days 00:00:08.600000,0 days 00:13:07.608000,239.5716666666667
2024-05-25 14:00:12.571,10246.0,116.0,2,65.0,False,8,car,0 days 00:00:08.880000,0 days 00:13:07.888000,248.59388888888896
2024-05-25 14:00:12.851,11201.0,128.0,2,72.0,False,8,car,0 days 00:00:09.160000,0 days 00:13:08.168000,258.5494444444445
2024-05-25 14:00:13.011,11554.0,131.0,2,75.0,False,8,car,0 days 00:00:09.320000,0 days 00:13:08.328000,264.3716666666667
2024-05-25 14:00:13.291,10476.0,142.0,2,84.0,False,8,car,0 days 00:00:09.600000,0 days 00:13:08.608000,275.41611111111115
2024-05-25 14:00:13.612,11096.0,154.0,3,97.0,False,8,car,0 days 00:00:09.921000,0 days 00:13:08.929000,289.14777777777783
2024-05-25 14:00:13.892,12030.0,164.0,3,100.0,False,8,car,0 days 00:00:10.201000,0 days 00:13:09.209000,301.9033333333334
2024-05-25 14:00:14.252,10805.0,173.0,4,100.0,False,8,car,0 days 00:00:10.561000,0 days 00:13:09.569000,319.2033333333334
2024-05-25 14:00:14.692,11249.0,183.0,4,100.0,False,8,car,0 days 00:00:11.001000,0 days 00:13:10.009000,341.57
2024-05-25 14:00:15.052,10359.0,191.0,4,100.0,False,8,car,0 days 00:00:11.361000,0 days 00:13:10.369000,360.6700000000001
2024-05-25 14:00:15.292,10493.0,194.0,5,100.0,False,8,car,0 days 00:00:11.601000,0 days 00:13:10.609000,373.6033333333334
2024-05-25 14:00:15.732,10903.0,201.0,5,100.0,False,8,car,0 days 00:00:12.041000,0 days 00:13:11.049000,398.1700000000001
2024-05-25 14:00:15.932,10983.0,204.0,5,100.0,False,8,car,0 days 00:00:12.241000,0 days 00:13:11.249000,409.5033333333334
2024-05-25 14:00:16.092,11219.0,207.0,5,100.0,False,8,car,0 days 00:00:12.401000,0 days 00:13:11.409000,418.7033333333334
2024-05-25 14:00:16.332,11351.0,209.0,5,100.0,False,8,car,0 days 00:00:12.641000,0 days 00:13:11.649000,432.6366666666667
2024-05-25 14:00:16.571,11601.0,215.0,5,100.0,False,8,car,0 days 00:00:12.880000,0 days 00:13:11.888000,446.9102777777779
2024-05-25 14:00:16.731,11461.0,216.0,5,100.0,False,8,car,0 days 00:00:13.040000,0 days 00:13:12.048000,456.5102777777778
2024-05-25 14:00:17.091,10351.0,221.0,6,100.0,False,8,car,0 days 00:00:13.400000,0 days 00:13:12.408000,478.61027777777787
2024-05-25 14:00:17.331,10492.0,224.0,6,100.0,False,8,car,0 days 00:00:13.640000,0 days 00:13:12.648000,493.5436111111112
2024-05-25 14:00:17.571,10567.0,225.0,6,100.0,False,8,car,0 days 00:00:13.880000,0 days 00:13:12.888000,508.5436111111112
2024-05-25 14:00:17.931,10744.0,228.0,6,100.0,False,8,car,0 days 00:00:14.240000,0 days 00:13:13.248000,531.3436111111112
