Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance
2023-09-02 14:01:51.690,5572.0,48.0,1,14.0,False,8,car,0 days 00:00:00.059000,0 days 00:16:51.579000,0.7866666666666665
2023-09-02 14:01:52.010,6308.0,54.0,1,19.0,False,8,car,0 days 00:00:00.379000,0 days 00:16:51.899000,5.586666666666666
2023-09-02 14:01:52.170,6591.0,57.0,1,21.0,False,8,car,0 days 00:00:00.539000,0 days 00:16:52.059000,8.12
2023-09-02 14:01:52.410,6938.0,61.0,1,22.0,False,8,car,0 days 00:00:00.779000,0 days 00:16:52.299000,12.186666666666666
2023-09-02 14:01:52.650,6976.0,64.0,1,24.0,False,8,car,0 days 00:00:01.019000,0 days 00:16:52.539000,16.45333333333333
2023-09-02 14:01:52.810,5917.0,67.0,1,30.0,False,8,car,0 days 00:00:01.179000,0 days 00:16:52.699000,19.43111111111111
2023-09-02 14:01:52.970,6234.0,69.0,2,34.0,False,8,car,0 days 00:00:01.339000,0 days 00:16:52.859000,22.497777777777777
2023-09-02 14:01:53.290,7473.0,78.0,2,42.0,False,8,car,0 days 00:00:01.659000,0 days 00:16:53.179000,29.431111111111115
2023-09-02 14:01:53.490,7739.0,81.0,2,46.0,False,8,car,0 days 00:00:01.859000,0 days 00:16:53.379000,33.931111111111115
2023-09-02 14:01:53.810,8303.0,93.0,2,46.0,False,8,car,0 days 00:00:02.179000,0 days 00:16:53.699000,42.19777777777777
2023-09-02 14:01:54.090,9013.0,103.0,2,57.0,False,8,car,0 days 00:00:02.459000,0 days 00:16:53.979000,50.20888888888889
2023-09-02 14:01:54.450,9992.0,112.0,2,63.0,False,8,car,0 days 00:00:02.819000,0 days 00:16:54.339000,61.40888888888889
2023-09-02 14:01:54.650,10383.0,119.0,2,64.0,False,8,car,0 days 00:00:03.019000,0 days 00:16:54.539000,68.02000000000001
2023-09-02 14:01:54.970,9660.0,131.0,3,67.0,False,8,car,0 days 00:00:03.339000,0 days 00:16:54.859000,79.66444444444444
2023-09-02 14:01:55.171,10073.0,137.0,3,68.0,False,8,car,0 days 00:00:03.540000,0 days 00:16:55.060000,87.31361111111111
2023-09-02 14:01:55.491,10607.0,144.0,3,73.0,False,8,car,0 days 00:00:03.860000,0 days 00:16:55.380000,100.11361111111111
2023-09-02 14:01:55.651,10803.0,150.0,3,75.0,False,8,car,0 days 00:00:04.020000,0 days 00:16:55.540000,106.78027777777777
2023-09-02 14:01:55.891,9895.0,155.0,3,78.0,False,8,car,0 days 00:00:04.260000,0 days 00:16:55.780000,117.11361111111111
2023-09-02 14:01:56.211,9895.0,155.0,4,78.0,False,8,car,0 days 00:00:04.580000,0 days 00:16:56.100000,130.8913888888889
