Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance
2024-05-25 14:02:56.092,7196.0,62.0,1,30.0,False,8,car,0 days 00:00:00.027000,0 days 00:15:51.409000,0.46499999999999997
2024-05-25 14:02:56.372,7572.0,66.0,1,30.0,False,8,car,0 days 00:00:00.307000,0 days 00:15:51.689000,5.598333333333333
2024-05-25 14:02:56.572,7666.0,67.0,1,30.0,False,8,car,0 days 00:00:00.507000,0 days 00:15:51.889000,9.320555555555554
2024-05-25 14:02:56.772,8230.0,70.0,1,31.0,False,8,car,0 days 00:00:00.707000,0 days 00:15:52.089000,13.209444444444442
2024-05-25 14:02:57.012,8457.0,72.0,1,35.0,False,8,car,0 days 00:00:00.947000,0 days 00:15:52.329000,18.00944444444444
2024-05-25 14:02:57.292,8723.0,75.0,1,39.0,False,8,car,0 days 00:00:01.227000,0 days 00:15:52.609000,23.842777777777776
2024-05-25 14:02:57.532,9051.0,78.0,1,41.0,False,8,car,0 days 00:00:01.467000,0 days 00:15:52.849000,29.042777777777776
2024-05-25 14:02:57.692,9330.0,79.0,1,45.0,False,8,car,0 days 00:00:01.627000,0 days 00:15:53.009000,32.553888888888885
2024-05-25 14:02:57.932,9763.0,81.0,1,46.0,False,8,car,0 days 00:00:01.867000,0 days 00:15:53.249000,37.95388888888888
2024-05-25 14:02:58.172,10032.0,86.0,1,46.0,False,8,car,0 days 00:00:02.107000,0 days 00:15:53.489000,43.687222222222225
2024-05-25 14:02:58.332,8912.0,89.0,1,45.0,False,8,car,0 days 00:00:02.267000,0 days 00:15:53.649000,47.64277777777777
2024-05-25 14:02:58.532,8275.0,93.0,2,46.0,False,8,car,0 days 00:00:02.467000,0 days 00:15:53.849000,52.809444444444445
2024-05-25 14:02:58.732,8528.0,97.0,2,44.0,False,8,car,0 days 00:00:02.667000,0 days 00:15:54.049000,58.19833333333332
2024-05-25 14:02:59.012,8449.0,98.0,2,0.0,True,8,car,0 days 00:00:02.947000,0 days 00:15:54.329000,65.82055555555556
2024-05-25 14:02:59.292,8204.0,95.0,2,0.0,True,8,car,0 days 00:00:03.227000,0 days 00:15:54.609000,73.20944444444444
2024-05-25 14:02:59.572,7771.0,91.0,2,0.0,True,8,car,0 days 00:00:03.507000,0 days 00:15:54.889000,80.28722222222223
2024-05-25 14:02:59.892,9630.0,86.0,1,0.0,True,8,car,0 days 00:00:03.827000,0 days 00:15:55.209000,87.93166666666667
2024-05-25 14:03:00.092,9552.0,84.0,1,0.0,True,8,car,0 days 00:00:04.027000,0 days 00:15:55.409000,92.59833333333334
2024-05-25 14:03:00.492,8895.0,79.0,1,0.0,True,8,car,0 days 00:00:04.427000,0 days 00:15:55.809000,101.37611111111111
2024-05-25 14:03:00.772,8717.0,76.0,1,0.0,True,8,car,0 days 00:00:04.707000,0 days 00:15:56.089000,107.28722222222223
2024-05-25 14:03:00.932,8503.0,75.0,1,0.0,True,8,car,0 days 00:00:04.867000,0 days 00:15:56.249000,110.62055555555557
2024-05-25 14:03:01.172,8254.0,72.0,1,0.0,True,8,car,0 days 00:00:05.107000,0 days 00:15:56.489000,115.42055555555558
2024-05-25 14:03:01.332,8122.0,71.0,1,0.0,True,8,car,0 days 00:00:05.267000,0 days 00:15:56.649000,118.57611111111113
2024-05-25 14:03:01.492,7880.0,69.0,1,0.0,True,8,car,0 days 00:00:05.427000,0 days 00:15:56.809000,121.64277777777778
2024-05-25 14:03:01.652,7630.0,68.0,1,0.0,True,8,car,0 days 00:00:05.587000,0 days 00:15:56.969000,124.665
2024-05-25 14:03:01.932,7779.0,66.0,1,7.0,False,8,car,0 days 00:00:05.867000,0 days 00:15:57.249000,129.79833333333335
