Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance
2023-09-02 14:01:28.330,8132.0,72.0,1,24.0,False,8,car,0 days 00:00:00.120000,0 days 00:16:28.219000,2.4
2023-09-02 14:01:28.650,8413.0,77.0,1,23.0,False,8,car,0 days 00:00:00.440000,0 days 00:16:28.539000,9.244444444444445
2023-09-02 14:01:28.811,9173.0,79.0,1,34.0,False,8,car,0 days 00:00:00.601000,0 days 00:16:28.700000,12.7775
2023-09-02 14:01:29.051,9607.0,83.0,1,36.0,False,8,car,0 days 00:00:00.841000,0 days 00:16:28.940000,18.31083333333333
2023-09-02 14:01:29.331,8473.0,88.0,1,40.0,False,8,car,0 days 00:00:01.121000,0 days 00:16:29.220000,25.155277777777776
2023-09-02 14:01:29.611,8794.0,96.0,2,41.0,False,8,car,0 days 00:00:01.401000,0 days 00:16:29.500000,32.621944444444445
2023-09-02 14:01:29.851,9200.0,102.0,2,44.0,False,8,car,0 days 00:00:01.641000,0 days 00:16:29.740000,39.42194444444444
2023-09-02 14:01:30.011,9570.0,106.0,2,47.0,False,8,car,0 days 00:00:01.801000,0 days 00:16:29.900000,44.13305555555555
2023-09-02 14:01:30.330,10259.0,114.0,2,53.0,False,8,car,0 days 00:00:02.120000,0 days 00:16:30.219000,54.234722222222224
2023-09-02 14:01:30.530,10752.0,118.0,2,54.0,False,8,car,0 days 00:00:02.320000,0 days 00:16:30.419000,60.790277777777774
2023-09-02 14:01:30.690,10934.0,121.0,2,56.0,False,8,car,0 days 00:00:02.480000,0 days 00:16:30.579000,66.16805555555555
2023-09-02 14:01:31.050,9710.0,128.0,2,53.0,False,8,car,0 days 00:00:02.840000,0 days 00:16:30.939000,78.96805555555555
2023-09-02 14:01:31.290,9855.0,133.0,3,61.0,False,8,car,0 days 00:00:03.080000,0 days 00:16:31.179000,87.83472222222223
2023-09-02 14:01:31.530,10404.0,142.0,3,68.0,False,8,car,0 days 00:00:03.320000,0 days 00:16:31.419000,97.30138888888888
2023-09-02 14:01:31.690,10874.0,144.0,3,69.0,False,8,car,0 days 00:00:03.480000,0 days 00:16:31.579000,103.70138888888889
2023-09-02 14:01:31.930,10984.0,152.0,3,69.0,False,8,car,0 days 00:00:03.720000,0 days 00:16:31.819000,113.83472222222223
2023-09-02 14:01:32.250,11594.0,159.0,3,79.0,False,8,car,0 days 00:00:04.040000,0 days 00:16:32.139000,127.96805555555555
2023-09-02 14:01:32.410,10624.0,162.0,3,87.0,False,8,car,0 days 00:00:04.200000,0 days 00:16:32.299000,135.16805555555555
2023-09-02 14:01:32.610,10340.0,168.0,4,89.0,False,8,car,0 days 00:00:04.400000,0 days 00:16:32.499000,144.5013888888889
2023-09-02 14:01:32.850,10608.0,174.0,4,94.0,False,8,car,0 days 00:00:04.640000,0 days 00:16:32.739000,156.10138888888886
2023-09-02 14:01:33.170,10919.0,183.0,4,96.0,False,8,car,0 days 00:00:04.960000,0 days 00:16:33.059000,172.36805555555554
2023-09-02 14:01:33.370,11459.0,189.0,4,100.0,False,8,car,0 days 00:00:05.160000,0 days 00:16:33.259000,182.86805555555554
2023-09-02 14:01:33.730,11119.0,198.0,4,100.0,False,8,car,0 days 00:00:05.520000,0 days 00:16:33.619000,202.6680555555555
2023-09-02 14:01:34.010,10445.0,203.0,5,100.0,False,8,car,0 days 00:00:05.800000,0 days 00:16:33.899000,218.4569444444444
2023-09-02 14:01:34.170,10506.0,205.0,5,100.0,False,8,car,0 days 00:00:05.960000,0 days 00:16:34.059000,227.5680555555555
2023-09-02 14:01:34.370,10876.0,210.0,5,100.0,False,8,car,0 days 00:00:06.160000,0 days 00:16:34.259000,239.2347222222222
2023-09-02 14:01:34.610,11130.0,217.0,5,100.0,False,8,car,0 days 00:00:06.400000,0 days 00:16:34.499000,253.70138888888886
2023-09-02 14:01:34.890,11352.0,220.0,5,100.0,False,8,car,0 days 00:00:06.680000,0 days 00:16:34.779000,270.81249999999994
2023-09-02 14:01:35.251,10903.0,226.0,5,100.0,False,8,car,0 days 00:00:07.041000,0 days 00:16:35.140000,293.47527777777776
2023-09-02 14:01:35.451,10019.0,229.0,6,100.0,False,8,car,0 days 00:00:07.241000,0 days 00:16:35.340000,306.19749999999993
2023-09-02 14:01:35.771,10393.0,233.0,6,100.0,False,8,car,0 days 00:00:07.561000,0 days 00:16:35.660000,326.90861111111104
2023-09-02 14:01:36.091,10727.0,238.0,6,100.0,False,8,car,0 days 00:00:07.881000,0 days 00:16:35.980000,348.0641666666666
2023-09-02 14:01:36.251,10940.0,242.0,6,100.0,False,8,car,0 days 00:00:08.041000,0 days 00:16:36.140000,358.8197222222222
2023-09-02 14:01:36.531,11008.0,244.0,6,100.0,False,8,car,0 days 00:00:08.321000,0 days 00:16:36.420000,377.7974999999999
2023-09-02 14:01:36.771,9800.0,245.0,7,100.0,False,8,car,0 days 00:00:08.561000,0 days 00:16:36.660000,394.13083333333327
2023-09-02 14:01:36.931,9817.0,248.0,7,100.0,False,8,car,0 days 00:00:08.721000,0 days 00:16:36.820000,405.1530555555555
2023-09-02 14:01:37.130,9482.0,249.0,7,21.0,False,8,car,0 days 00:00:08.920000,0 days 00:16:37.019000,418.91722222222216
2023-09-02 14:01:37.490,8904.0,236.0,7,0.0,True,8,car,0 days 00:00:09.280000,0 days 00:16:37.379000,442.51722222222213
2023-09-02 14:01:37.770,8667.0,215.0,7,0.0,True,8,car,0 days 00:00:09.560000,0 days 00:16:37.659000,459.2394444444444
2023-09-02 14:01:38.010,8886.0,196.0,7,0.0,True,8,car,0 days 00:00:09.800000,0 days 00:16:37.899000,472.3061111111111
2023-09-02 14:01:38.370,10540.0,178.0,5,0.0,True,8,car,0 days 00:00:10.160000,0 days 00:16:38.259000,490.10611111111103
2023-09-02 14:01:38.530,9802.0,168.0,4,0.0,True,8,car,0 days 00:00:10.320000,0 days 00:16:38.419000,497.57277777777773
2023-09-02 14:01:38.770,10771.0,159.0,4,0.0,True,8,car,0 days 00:00:10.560000,0 days 00:16:38.659000,508.17277777777775
2023-09-02 14:01:38.970,10812.0,151.0,3,0.0,True,8,car,0 days 00:00:10.760000,0 days 00:16:38.859000,516.5616666666666
2023-09-02 14:01:39.170,10094.0,142.0,3,0.0,True,8,car,0 days 00:00:10.960000,0 days 00:16:39.059000,524.4505555555555
2023-09-02 14:01:39.330,9542.0,139.0,3,0.0,True,8,car,0 days 00:00:11.120000,0 days 00:16:39.219000,530.6283333333332
2023-09-02 14:01:39.570,8999.0,128.0,3,0.0,True,8,car,0 days 00:00:11.360000,0 days 00:16:39.459000,539.1616666666665
2023-09-02 14:01:39.890,9312.0,118.0,3,0.0,True,8,car,0 days 00:00:11.680000,0 days 00:16:39.779000,549.6505555555555
2023-09-02 14:01:40.090,9309.0,110.0,2,0.0,True,8,car,0 days 00:00:11.880000,0 days 00:16:39.979000,555.7616666666667
2023-09-02 14:01:40.490,8517.0,97.0,2,0.0,True,8,car,0 days 00:00:12.280000,0 days 00:16:40.379000,566.5394444444444
2023-09-02 14:01:40.650,8067.0,92.0,2,0.0,True,8,car,0 days 00:00:12.440000,0 days 00:16:40.539000,570.6283333333332
2023-09-02 14:01:40.850,7434.0,87.0,2,0.0,True,8,car,0 days 00:00:12.640000,0 days 00:16:40.739000,575.4616666666666
2023-09-02 14:01:41.931,5648.0,68.0,2,0.0,False,8,car,0 days 00:00:13.721000,0 days 00:16:41.820000,595.8805555555555
2023-09-02 14:01:42.131,5629.0,63.0,2,0.0,False,8,car,0 days 00:00:13.921000,0 days 00:16:42.020000,599.3805555555555
2023-09-02 14:01:42.371,5451.0,62.0,2,3.0,False,8,car,0 days 00:00:14.161000,0 days 00:16:42.260000,603.5138888888888
